"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"D89ISPMV","webpage","","","okfn/dataproxy · GitHub","","","","","https://github.com/okfn/dataproxy","","","2015-04-02 07:34:51","2015-04-02 07:34:51","2015-04-02 07:34:51","","","","","","","","","","","","","","","","","","","","","","","/home/atrentini/.zotero/zotero/50lhawrb.default/zotero/storage/8WRPZBPG/dataproxy.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z74FXPPT","webpage","","","Web Scraper","","","","","http://webscraper.io/","","","2015-04-02 07:37:02","2015-04-02 07:37:02","2015-04-02 07:37:02","","","","","","","","","","","","","","","","","","","","","","","/home/atrentini/.zotero/zotero/50lhawrb.default/zotero/storage/J2PRSCJD/webscraper.io.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZDIGXCID","webpage","","","import.io | Web Data Platform & Free Web Scraping Tool","","","","","https://import.io/","","","2015-04-02 07:37:05","2015-04-02 07:37:05","2015-04-02 07:37:05","","","","","","","","","","","","","","","","","","","","","","","/home/atrentini/.zotero/zotero/50lhawrb.default/zotero/storage/WFZVWAZH/import.io.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"649SQVA6","webpage","","","Kimono : Turn websites into structured APIs from your browser in seconds","","","","","https://www.kimonolabs.com/","","","2015-04-02 07:39:25","2015-04-02 07:39:25","2015-04-02 07:39:25","","","","","","","","","","","","","","","","","","","","","","","/home/atrentini/.zotero/zotero/50lhawrb.default/zotero/storage/UEVUSGU3/www.kimonolabs.com.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QSV52PJS","webpage","","","ScraperWiki","","","","","https://scraperwiki.com/","","","2015-04-02 07:40:31","2015-04-02 07:40:31","2015-04-02 07:40:31","","","","","","","","","","","","","","","","","","","","","","","/home/atrentini/.zotero/zotero/50lhawrb.default/zotero/storage/PWH24VZG/scraperwiki.com.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATHD7DR7","webpage","","","jsoup Java HTML Parser, with best of DOM, CSS, and jquery","","","","","http://jsoup.org/","","","2015-04-02 07:41:28","2015-04-02 07:41:28","2015-04-02 07:41:28","","","","","","","","","","","","","","","","","","","","","","","/home/atrentini/.zotero/zotero/50lhawrb.default/zotero/storage/RXGS3J6V/jsoup.org.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERG7WZUN","webpage","","","ContentMine/quickscrape · GitHub","","","","","https://github.com/ContentMine/quickscrape","","","2015-04-02 07:42:07","2015-04-02 07:42:07","2015-04-02 07:42:07","","","","","","","","","","","","","","","","","","","","","","","/home/atrentini/.zotero/zotero/50lhawrb.default/zotero/storage/C32KEAQJ/quickscrape.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2M5M8S5G","webpage","","","Apache POI - the Java API for Microsoft Documents","","","","","https://poi.apache.org/","","","2015-04-02 07:42:52","2015-04-02 07:42:52","2015-04-02 07:42:52","","","","","","","","","","","","","","","","","","","","","","","/home/atrentini/.zotero/zotero/50lhawrb.default/zotero/storage/GXF9V9CU/poi.apache.org.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QSGNVVCK","webpage","","","in2csv — csvkit 0.9.0 (beta) documentation","","","","","https://csvkit.readthedocs.org/en/0.9.0/scripts/in2csv.html","","","2015-04-02 07:42:55","2015-04-02 07:42:55","2015-04-02 07:42:55","","","","","","","","","","","","","","","","","","","","","","","/home/atrentini/.zotero/zotero/50lhawrb.default/zotero/storage/BMD4NIR7/in2csv.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EP77ZHAT","webpage","","","D3.js - Data-Driven Documents","","","","","http://d3js.org/","","","2015-04-02 07:43:06","2015-04-02 07:43:06","2015-04-02 07:43:06","","","","","","","","","","","","","","","","","","","","","","","/home/atrentini/.zotero/zotero/50lhawrb.default/zotero/storage/EGUUF87H/d3js.org.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
